Sport_ID,Sport
422,Motorboating Mixed A-Class (Open)
423,Motorboating Mixed B-Class (Under 60 Feet)
424,Motorboating Mixed C-Class
425,Nordic Combined Men's Individual
426,"Nordic Combined Men's Large Hill / 10 km, Individual"
427,"Nordic Combined Men's Normal Hill / 10 km, Individual"
428,Nordic Combined Men's Sprint
429,Nordic Combined Men's Team
430,Polo Men's Polo
431,Racquets Men's Doubles
432,Racquets Men's Singles
433,Rhythmic Gymnastics Women's Group
434,Rhythmic Gymnastics Women's Individual
435,Roque Men's Singles
436,Rowing Men's 17-Man Naval Rowing Boats
437,Rowing Men's 6-Man Naval Rowing Boats
438,Rowing Men's Coxed Eights
439,Rowing Men's Coxed Fours
440,"Rowing Men's Coxed Fours, Inriggers"
441,"Rowing Men's Coxed Fours, Outriggers"
442,Rowing Men's Coxed Pairs
443,Rowing Men's Coxed Pairs (1 kilometres)
444,Rowing Men's Coxed Pairs (1 mile)
445,Rowing Men's Coxless Fours
446,Rowing Men's Coxless Pairs
447,Rowing Men's Double Sculls
448,Rowing Men's Lightweight Coxless Fours
449,Rowing Men's Lightweight Double Sculls
450,Rowing Men's Quadruple Sculls
451,Rowing Men's Single Sculls
452,Rowing Women's Coxed Eights
453,Rowing Women's Coxed Fours
454,Rowing Women's Coxed Quadruple Sculls
455,Rowing Women's Coxless Fours
456,Rowing Women's Coxless Pairs
457,Rowing Women's Double Sculls
458,Rowing Women's Lightweight Double Sculls
459,Rowing Women's Quadruple Sculls
460,Rowing Women's Single Sculls
461,Rugby Men's Rugby
462,Rugby Sevens Men's Rugby Sevens
463,Rugby Sevens Women's Rugby Sevens
464,Sailing Men's One Person Dinghy
465,Sailing Men's One Person Heavyweight Dinghy
466,Sailing Men's Skiff
467,Sailing Men's Two Person Dinghy
468,Sailing Men's Two Person Keelboat
469,Sailing Men's Windsurfer
470,Sailing Mixed 0-0.5 Ton
471,Sailing Mixed 0.5-1 Ton
472,Sailing Mixed 1-2 Ton
473,Sailing Mixed 10 metres
474,Sailing Mixed 10-20 Ton
475,Sailing Mixed 12 foot
476,Sailing Mixed 12 metres
477,Sailing Mixed 18 foot
478,Sailing Mixed 2-3 Ton
479,Sailing Mixed 20+ Ton
480,Sailing Mixed 3-10 Ton
481,Sailing Mixed 30 metres
482,Sailing Mixed 40 metres
483,Sailing Mixed 5.5 metres
484,Sailing Mixed 6 metres
485,Sailing Mixed 6.5 metres
486,Sailing Mixed 7 metres
487,Sailing Mixed 8 metres
488,Sailing Mixed Multihull
489,Sailing Mixed One Person Dinghy
490,Sailing Mixed Open
491,Sailing Mixed Skiff
492,Sailing Mixed Three Person Keelboat
493,Sailing Mixed Two Person Dinghy
494,Sailing Mixed Two Person Heavyweight Dinghy
495,Sailing Mixed Two Person Keelboat
496,Sailing Mixed Windsurfer
497,Sailing Women's One Person Dinghy
498,Sailing Women's Skiff
499,Sailing Women's Three Person Keelboat
500,Sailing Women's Two Person Dinghy
501,Sailing Women's Windsurfer
502,"Shooting Men's Air Pistol, 10 metres"
503,"Shooting Men's Air Rifle, 10 metres"
504,Shooting Men's Double Trap
505,"Shooting Men's Dueling Pistol Au Commandement, 25 metres"
506,Shooting Men's Dueling Pistol Au Vise 20 metres
507,"Shooting Men's Dueling Pistol, 30 metres"
508,"Shooting Men's Dueling Pistol, 30 metres, Team"
509,"Shooting Men's Free Pistol, 25 metres"
510,"Shooting Men's Free Pistol, 30 metres"
511,"Shooting Men's Free Pistol, 50 metres"
512,"Shooting Men's Free Pistol, 50 metres, Team"
513,"Shooting Men's Free Pistol, 50 yards"
514,"Shooting Men's Free Pistol, 50 yards, Team"
515,"Shooting Men's Free Rifle, 1,000 Yards"
516,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team"
517,"Shooting Men's Free Rifle, Any Position, 300 metres"
518,"Shooting Men's Free Rifle, Kneeling, 300 metres"
519,"Shooting Men's Free Rifle, Prone, 300 metres"
520,"Shooting Men's Free Rifle, Prone, 600 metres"
521,"Shooting Men's Free Rifle, Standing, 300 metres"
522,"Shooting Men's Free Rifle, Three Positions, 300 metres"
523,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team"
524,"Shooting Men's Military Pistol, 25 metres"
525,"Shooting Men's Military Pistol, 30 metres"
526,"Shooting Men's Military Pistol, Team"
527,"Shooting Men's Military Revolver, 1873-1874 Gras Model, 20 metres"
528,"Shooting Men's Military Revolver, 20 metres"
529,"Shooting Men's Military Rifle, 1873-1874 Gras Model, Kneeling Or Standing, 200 metres"
530,"Shooting Men's Military Rifle, 200 metres"
531,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team"
532,"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team"
533,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team"
534,"Shooting Men's Military Rifle, Any Position, 600 metres"
535,"Shooting Men's Military Rifle, Kneeling Or Standing, 300 metres"
536,"Shooting Men's Military Rifle, Prone, 300 metres"
537,"Shooting Men's Military Rifle, Prone, 300 metres, Team"
538,"Shooting Men's Military Rifle, Prone, 600 metres"
539,"Shooting Men's Military Rifle, Prone, 600 metres, Team"
540,"Shooting Men's Military Rifle, Standing, 300 metres"
541,"Shooting Men's Military Rifle, Standing, 300 metres, Team"
542,"Shooting Men's Military Rifle, Three Positions, 300 metres"
543,"Shooting Men's Muzzle-Loading Pistol, 25 metres"
544,"Shooting Men's Rapid-Fire Pistol, 25 metres"
545,"Shooting Men's Running Target, 10 metres"
546,"Shooting Men's Running Target, 50 metres"
547,"Shooting Men's Running Target, Double Shot"
548,"Shooting Men's Running Target, Double Shot, Team"
549,"Shooting Men's Running Target, Single And Double Shot"
550,"Shooting Men's Running Target, Single Shot"
551,"Shooting Men's Running Target, Single Shot, Team"
552,Shooting Men's Skeet
553,"Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team"
554,"Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team"
555,"Shooting Men's Small-Bore Rifle, Any Position, 50 metres"
556,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres"
557,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres, Team"
558,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards"
559,"Shooting Men's Small-Bore Rifle, Moving Target, 25 yards"
560,"Shooting Men's Small-Bore Rifle, Prone, 50 and 100 yards"
561,"Shooting Men's Small-Bore Rifle, Prone, 50 metres"
562,"Shooting Men's Small-Bore Rifle, Prone, 50 metres, Team"
563,"Shooting Men's Small-Bore Rifle, Standing, 50 metres"
564,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres"
565,Shooting Men's Trap
566,"Shooting Men's Trap, Double Shot, 14 metres"
567,"Shooting Men's Trap, Single Shot, 16 metres"
568,"Shooting Men's Trap, Team"
569,Shooting Men's Unknown Event
570,"Shooting Mixed Free Pistol, 50 metres"
571,"Shooting Mixed Free Rifle, Three Positions, 300 metres"
572,"Shooting Mixed Rapid-Fire Pistol, 25 metres"
573,"Shooting Mixed Running Target, 50 metres"
574,Shooting Mixed Skeet
575,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres"
576,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres"
577,Shooting Mixed Trap
578,"Shooting Women's Air Pistol, 10 metres"
